date,store_type,sales,discount_average,has_new_product,is_weekend,market,tavg
2021-01-04,type_3,3233.14,44.72,0,0,market_3,6.3
2021-01-04,type_1,162.44,29.18,0,0,market_3,6.3
2021-01-04,type_2,2709.08,42.34,1,0,market_3,6.3
2021-01-05,type_3,3338.67,47.75,0,0,market_3,5.3
2021-01-05,type_1,199.56,30.0,0,0,market_3,5.3
2021-01-05,type_2,3820.02,46.36,1,0,market_3,5.3
2021-01-07,type_3,3341.19,47.83,0,0,market_3,7.2
2021-01-07,type_1,244.18,30.0,0,0,market_3,7.2
2021-01-07,type_2,3718.31,71.79,1,0,market_3,7.2
2021-01-08,type_3,3343.46,48.77,0,1,market_3,7.6
2021-01-08,type_1,237.76,30.0,0,1,market_3,7.6
2021-01-08,type_2,4282.99,40.67,1,1,market_3,7.6
2021-01-11,type_3,3318.84,45.53,0,0,market_3,8.3
2021-01-11,type_1,1097.95,30.0,0,0,market_3,8.3
2021-01-11,type_2,5086.65,36.99,1,0,market_3,8.3
2021-01-12,type_3,3178.48,42.58,0,0,market_3,8.6
2021-01-12,type_1,305.38,30.0,0,0,market_3,8.6
2021-01-12,type_2,3574.96,44.43,0,0,market_3,8.6
2021-01-13,type_3,0.0,42.08518595041322,0,0,market_3,7.7
2021-01-13,type_1,1527.31,30.82,0,0,market_3,7.7
2021-01-14,type_1,316.78,31.94,0,0,market_3,7.8
2021-01-14,type_2,59.34,50.0,0,0,market_3,7.8
2021-01-15,type_1,250.75,30.0,0,1,market_3,9.9
2021-01-15,type_2,124.75,18.0,0,1,market_3,9.9
2021-01-16,type_1,186.34,30.0,0,1,market_3,8.6
2021-01-16,type_2,14.04,10.0,0,1,market_3,8.6
2021-01-18,type_1,283.16,33.62,0,0,market_3,10.1
2021-01-18,type_2,26.9,33.289868287740624,0,0,market_3,10.1
2021-01-19,type_1,282.26,33.44,0,0,market_3,9.8
2021-01-19,type_2,88.5,95.45,0,0,market_3,9.8
2021-01-21,type_1,388.11,30.0,0,0,market_3,14.0
2021-01-21,type_2,48.2,33.289868287740624,0,0,market_3,14.0
2021-01-22,type_1,261.23,36.89,0,1,market_3,14.6
2021-01-22,type_2,79.6,33.289868287740624,0,1,market_3,14.6
2021-01-23,type_1,177.72,30.0,0,1,market_3,13.0
2021-01-23,type_2,27.6,33.289868287740624,0,1,market_3,13.0
2021-01-25,type_1,248.87,34.88,0,0,market_3,12.7
2021-01-25,type_2,134.75,33.289868287740624,0,0,market_3,12.7
2021-01-26,type_1,298.47,35.05,0,0,market_3,10.2
2021-01-26,type_2,171.84,50.0,0,0,market_3,10.2
2021-01-27,type_1,369.16,31.87,0,0,market_3,14.2
2021-01-27,type_2,84.15,10.0,0,0,market_3,14.2
2021-01-28,type_1,404.94,34.57,0,0,market_3,14.8
2021-01-28,type_2,81.39,50.0,0,0,market_3,14.8
2021-01-29,type_1,349.22,31.82,0,1,market_3,14.3
2021-01-29,type_2,264.41,13.64,0,1,market_3,14.3
2021-01-30,type_1,185.55,30.0,0,1,market_3,14.0
2021-01-30,type_2,90.52,50.0,0,1,market_3,14.0
2021-02-01,type_1,377.1,31.73,0,0,market_3,17.5
2021-02-01,type_2,118.3,33.289868287740624,0,0,market_3,17.5
2021-02-02,type_1,628.49,31.67,1,0,market_3,14.6
2021-02-02,type_2,79.54,10.0,0,0,market_3,14.6
2021-02-03,type_1,355.94,33.38,0,0,market_3,12.5
2021-02-03,type_2,111.7,33.289868287740624,0,0,market_3,12.5
2021-02-04,type_1,399.91,32.59,0,0,market_3,12.2
2021-02-04,type_2,169.35,50.0,0,0,market_3,12.2
2021-02-05,type_1,937.03,33.54,0,1,market_3,15.5
2021-02-05,type_2,251.74,50.0,0,1,market_3,15.5
2021-02-06,type_1,159.01,29.39,0,1,market_3,15.8
2021-02-06,type_2,70.46,35.71,0,1,market_3,15.8
2021-02-08,type_1,314.91,32.37,0,0,market_3,12.5
2021-02-08,type_2,315.17,25.38,0,0,market_3,12.5
2021-02-09,type_1,386.06,34.32,0,0,market_3,14.1
2021-02-09,type_2,97.65,42.5,0,0,market_3,14.1
2021-02-10,type_1,383.66,32.09,0,0,market_3,14.3
2021-02-10,type_2,158.59,30.0,0,0,market_3,14.3
2021-02-11,type_1,361.27,33.64,0,0,market_3,11.8
2021-02-11,type_2,285.2,33.289868287740624,0,0,market_3,11.8
2021-02-12,type_1,170.77,30.0,0,1,market_3,12.9
2021-02-12,type_2,176.65,33.289868287740624,0,1,market_3,12.9
2021-02-13,type_1,163.99,29.5,0,1,market_3,12.8
2021-02-13,type_2,33.8,33.289868287740624,0,1,market_3,12.8
2021-02-15,type_3,2725.23,39.41,0,0,market_3,9.8
2021-02-15,type_1,392.06,30.89,1,0,market_3,9.8
2021-02-15,type_2,2801.7,20.0,0,0,market_3,9.8
2021-02-16,type_3,2939.98,43.56,0,0,market_3,9.5
2021-02-16,type_1,297.65,31.19,1,0,market_3,9.5
2021-02-16,type_2,2857.92,30.0,0,0,market_3,9.5
