date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,17.9,14.5,21.3,0,,17,22,,1020.9,
2021-01-02,17.8,14.2,20.9,0,,15,16.8,,1018.9,
2021-01-03,17.2,14.1,19.5,0,,33,13.5,,1017.3,
2021-01-04,16.6,12.9,19,0,,42,14,,1014.6,
2021-01-05,20.3,15.9,24.5,0.1,,248,16,,1010.7,
2021-01-06,20.3,15.7,23.6,0.9,,228,21.4,,1007.6,
2021-01-07,20.4,16.5,22.4,33.3,,220,24.8,,1006.3,
2021-01-08,18.7,13.5,20.3,4.8,,280,26.2,,1007.9,
2021-01-09,15.3,11.1,17.4,4.3,,330,17.7,,1017.9,
2021-01-10,16,12.5,18.5,1.6,,327,24.8,,1021,
2021-01-11,15.6,11.8,18.7,1.2,,359,19,,1022.6,
2021-01-12,15.7,12,19.2,0.4,,15,15.3,,1024.8,
2021-01-13,16.1,11.2,20.5,0,,33,14.8,,1027.4,
2021-01-14,16.2,12.2,19.8,0,,23,19.3,,1028.6,
2021-01-15,17.1,15.1,20.1,0,,29,22.2,,1026.9,
2021-01-16,16.9,13.8,20.6,0,,33,20.5,,1025.5,
2021-01-17,16.9,13.3,20.1,0,,43,13.6,,1025.9,
2021-01-18,16.2,11.7,20.3,0,,30,12.5,,1026.1,
2021-01-19,15.9,11.9,19.8,0,,31,10.1,,1025.6,
2021-01-20,16.1,10.4,21.4,0,,287,9.4,,1023.7,
2021-01-21,18.2,14.3,21.5,0,,347,6.6,,1025.1,
2021-01-22,18.9,15.4,22.3,0,,9,14.2,,1026.1,
2021-01-23,18.5,14.5,22.4,1,,34,15.7,,1024.7,
2021-01-24,18.7,15,24.3,0,,22,15.1,,1022.4,
2021-01-25,18.6,15,23,0,,4,21.5,,1023.2,
2021-01-26,19.1,15.9,23.6,0,,24,27,,1023.5,
2021-01-27,18,12.5,22.3,0,,53,10.6,,1022.1,
2021-01-28,19,13.3,25.9,0,,37,8.4,,1022,
2021-01-29,17.3,11.1,23.3,0,,58,7,,1023.7,
2021-01-30,18.1,13,22.6,0,,13,18.5,,1025.2,
2021-01-31,19.1,15.9,22.9,0,,8,35,,1023.2,
2021-02-01,19.8,16.1,25.9,0,,12,30.4,,1020.8,
2021-02-02,17.2,13.4,21.6,0,,49,15.1,,1020.1,
2021-02-03,17.5,13.1,20.4,0,,46,9.6,,1018.4,
2021-02-04,15.6,12.2,17.8,3.1,,286,11.7,,1012,
2021-02-05,14.7,11.8,18.7,13.2,,308,16.7,,1010,
2021-02-06,15.2,10.5,18.6,1.2,,324,19.7,,1016.8,
2021-02-07,16.4,12.4,20.4,0,,345,13.8,,1021.5,
2021-02-08,17.9,14.5,21.4,0,,335,9.4,,1021.6,
2021-02-09,18.5,13.6,23.9,0,,305,10.7,,1020.7,
2021-02-10,16.9,13.9,21.1,0,,10,7.7,,1021.1,
2021-02-11,17.7,13.9,21.2,0,,13,9.3,,1021.8,
2021-02-12,18.7,15.4,22.9,0,,30,20,,1022.7,
2021-02-13,19.3,14.7,23.5,0,,20,23,,1022.3,
2021-02-14,17,13,21.5,0,,39,13.3,,1021.5,
2021-02-15,19.6,13.4,24.8,0,,49,11.1,,1023.2,
2021-02-16,18.9,14,22.4,0,,51,14.3,,1024.1,
2021-02-17,18.5,14.9,21,0,,57,19.6,,1021.1,
2021-02-18,17.5,13,23.4,0,,36,14,,1019.4,
2021-02-19,16,10.7,21.6,0,,40,8,,1018.9,
2021-02-20,19.6,12,21.8,0.5,,248,18.7,,1015,
2021-02-21,17.5,13.2,21.8,0,,314,13.8,,1017.1,
2021-02-22,16.8,11.7,21.2,0,,321,7.4,,1022.4,
2021-02-23,18.4,14,22.6,0,,43,14.1,,1024,
2021-02-24,18.8,15.4,24.5,0,,13,23.2,,1023.9,
2021-02-25,18.4,14.4,22.9,0.8,,13,28.4,,1026.3,
2021-02-26,17.4,13.7,21.5,1.1,,7,27.4,,1025.1,
2021-02-27,16.6,12.8,20.7,0,,338,18.2,,1020.6,
2021-02-28,17.3,12.6,22.4,0,,347,17.5,,1015.2,
2021-03-01,18.2,13.4,22.7,0,,353,18.2,,1017,
2021-03-02,17.8,13.6,23,0,,15,18.1,,1021.1,
2021-03-03,18.1,13.3,23.7,0,,10,19.1,,1021.5,
2021-03-04,18.1,13.1,23.2,0,,5,13.9,,1020.9,
2021-03-05,19.2,14,23.5,0.7,,324,16.4,,1018.2,
2021-03-06,18.1,13.9,21.7,1.2,,342,25.2,,1018.7,
2021-03-07,18.1,15.3,22.5,0.5,,360,26.4,,1021.8,
2021-03-08,18,14.4,21.9,0.1,,2,19.5,,1019.7,
2021-03-09,17.7,15.1,21.1,0,,9,30.9,,1019.4,
2021-03-10,18.1,15.3,21.1,0,,14,32.3,,1021.4,
2021-03-11,18.2,15.2,23.8,0,,43,19.6,,1023.6,
2021-03-12,17.6,13.2,23.6,0,,33,18.5,,1023.4,
2021-03-13,18.2,14.2,22.9,0,,32,19.9,,1021.2,
2021-03-14,18.3,15.8,22.7,0,,35,17.2,,1019.7,
2021-03-15,18.1,12.8,24.7,0,,11,15.8,,1018.1,
2021-03-16,18.4,14.1,25.1,0,,18,20.4,,1017,
2021-03-17,18.4,13.4,23.5,0,,3,16.7,,1015.9,
2021-03-18,18.8,14.6,23.4,0,,356,19,,1015.6,
