date,store_type,sales,discount_average,has_new_product,is_weekend,market
2021-09-17,type_3,1213.1700000000000053,37.72,1,1,market_6
2021-09-20,type_1,1915.5300000000000015,30.44,1,0,market_6
2021-09-21,type_1,1976.4800000000000025,30.00,1,0,market_6
2021-09-22,type_3,595.9500000000000048,30.75,1,0,market_6
2021-09-22,type_1,4234.3900000000000391,30.93,1,0,market_6
2021-09-22,type_2,273.1100000000000031,10.00,1,0,market_6
2021-09-24,type_3,685.2600000000000023,30.00,1,1,market_6
2021-09-24,type_2,7.01,10.00,1,1,market_6
2021-09-25,type_3,125.7500000000000001,33.04,0,1,market_6
2021-09-28,type_3,387.9600000000000014,30.49,1,0,market_6
2021-09-29,type_3,3994.6000000000000282,38.36,1,0,market_6
2021-09-29,type_1,7766.7000000000002359,30.91,1,0,market_6
2021-09-29,type_2,637.7100000000000122,10.00,1,0,market_6
2021-09-30,type_3,4163.3600000000000298,30.45,1,0,market_6
2021-09-30,type_1,4849.5800000000000900,30.00,1,0,market_6
2021-09-30,type_2,290.7000000000000039,10.00,1,0,market_6
2021-10-01,type_3,3653.3400000000000309,32.60,1,1,market_6
2021-10-01,type_1,6941.7400000000000872,36.03,1,1,market_6
2021-10-01,type_2,471.6500000000000107,10.00,1,1,market_6
2021-10-02,type_3,4315.5800000000000264,37.30,1,1,market_6
2021-10-02,type_1,10648.3400000000001196,31.18,1,1,market_6
2021-10-02,type_2,808.4200000000000123,18.89,1,1,market_6
2021-10-03,type_3,3361.0000000000000336,36.67,0,1,market_6
2021-10-03,type_1,7817.6900000000000715,36.03,1,1,market_6
2021-10-03,type_2,505.6400000000000101,10.00,0,1,market_6
2021-10-04,type_3,3057.2900000000000176,32.21,0,0,market_6
2021-10-04,type_1,7265.9800000000001432,30.00,1,0,market_6
2021-10-04,type_2,479.6200000000000078,10.00,0,0,market_6
2021-10-05,type_3,2866.9600000000000227,31.72,0,0,market_6
2021-10-05,type_1,5908.9200000000000758,36.85,1,0,market_6
2021-10-05,type_2,347.0200000000000066,25.00,0,0,market_6
2021-10-06,type_3,3054.6800000000000252,31.25,0,0,market_6
2021-10-06,type_1,4256.1300000000000573,30.38,1,0,market_6
2021-10-06,type_2,404.6500000000000082,10.00,0,0,market_6
2021-10-07,type_3,3465.2100000000000252,30.00,1,0,market_6
2021-10-07,type_1,4599.4500000000001074,30.00,1,0,market_6
2021-10-07,type_2,329.5200000000000057,10.00,0,0,market_6
2021-10-08,type_3,3394.5800000000000181,31.28,0,1,market_6
2021-10-08,type_1,5569.3300000000000745,30.00,1,1,market_6
2021-10-08,type_2,377.2200000000000064,16.67,0,1,market_6
2021-10-09,type_3,3732.4100000000000236,31.69,0,1,market_6
2021-10-09,type_1,8771.0700000000000538,31.21,1,1,market_6
2021-10-09,type_2,499.4800000000000040,64.00,0,1,market_6
2021-10-10,type_3,3789.5000000000000351,30.29,0,1,market_6
2021-10-10,type_1,6864.3400000000001326,29.43,1,1,market_6
2021-10-10,type_2,449.5400000000000094,10.00,0,1,market_6
2021-10-11,type_3,3610.1400000000000301,40.50,0,0,market_6
2021-10-11,type_1,6904.3900000000001105,30.00,0,0,market_6
2021-10-11,type_2,654.4700000000000092,23.33,0,0,market_6
2021-10-12,type_3,2413.5600000000000151,29.67,0,0,market_6
2021-10-12,type_1,4625.8900000000000848,30.00,0,0,market_6
2021-10-12,type_2,238.9700000000000047,10.00,0,0,market_6
2021-10-13,type_3,2751.9100000000000224,31.82,0,0,market_6
2021-10-13,type_1,4387.3900000000000315,30.00,0,0,market_6
2021-10-13,type_2,238.2800000000000038,48.57,0,0,market_6
2021-10-14,type_3,2730.3500000000000143,30.53,1,0,market_6
2021-10-14,type_1,4762.0900000000001064,30.38,0,0,market_6
2021-10-14,type_2,290.5700000000000055,10.00,0,0,market_6
2021-10-15,type_3,2564.1500000000000123,30.00,0,1,market_6
2021-10-15,type_1,6010.2100000000000925,30.00,1,1,market_6
2021-10-15,type_2,357.9700000000000055,,0,1,market_6
2021-10-16,type_3,4679.8200000000000357,31.25,0,1,market_6
2021-10-16,type_1,9224.5800000000000832,30.00,1,1,market_6
2021-10-16,type_2,617.1300000000000102,10.00,0,1,market_6
2021-10-17,type_3,3524.2900000000000251,30.00,0,1,market_6
2021-10-17,type_1,5974.3400000000000597,36.47,1,1,market_6
2021-10-17,type_2,446.8200000000000072,10.00,0,1,market_6
2021-10-18,type_3,2874.3200000000000159,31.01,1,0,market_6
2021-10-18,type_1,6527.7400000000001648,43.39,1,0,market_6
2021-10-18,type_2,297.8600000000000061,,0,0,market_6
2021-10-19,type_3,3007.6300000000000189,30.64,1,0,market_6
2021-10-19,type_1,3566.0700000000000472,30.00,1,0,market_6
2021-10-19,type_2,335.4900000000000074,,0,0,market_6
2021-10-20,type_3,3044.9700000000000178,46.02,1,0,market_6
2021-10-20,type_1,3486.4300000000000232,34.38,1,0,market_6
2021-10-20,type_2,335.8700000000000035,10.00,0,0,market_6
2021-10-21,type_3,2527.3600000000000174,73.50,0,0,market_6
2021-10-21,type_1,4551.9800000000000395,38.75,1,0,market_6
2021-10-21,type_2,173.3500000000000030,10.00,0,0,market_6
2021-10-22,type_3,3380.8500000000000225,67.94,0,1,market_6
2021-10-22,type_1,5388.8600000000000557,42.50,1,1,market_6
2021-10-22,type_2,370.0300000000000053,10.00,0,1,market_6
2021-10-23,type_3,4437.4800000000000348,74.80,0,1,market_6
2021-10-23,type_1,8585.6800000000000922,36.36,1,1,market_6
2021-10-23,type_2,367.6400000000000052,10.00,0,1,market_6
2021-10-24,type_3,3063.1500000000000292,74.35,0,1,market_6
2021-10-24,type_1,6679.9900000000001304,53.33,0,1,market_6
2021-10-24,type_2,422.7000000000000076,10.00,0,1,market_6
2021-10-25,type_3,3090.3600000000000200,65.65,1,0,market_6
2021-10-25,type_1,4625.5000000000000438,30.00,1,0,market_6
2021-10-25,type_2,268.1200000000000051,,0,0,market_6
2021-10-26,type_3,2973.9100000000000227,42.39,1,0,market_6
2021-10-26,type_1,4107.9900000000000985,30.00,1,0,market_6
2021-10-26,type_2,203.0000000000000039,10.00,0,0,market_6
2021-10-27,type_3,2892.9200000000000225,46.63,1,0,market_6
2021-10-27,type_1,4111.0300000000001194,30.00,1,0,market_6
2021-10-27,type_2,211.0400000000000006,10.00,0,0,market_6
2021-10-28,type_3,2622.6800000000000152,33.77,0,0,market_6
2021-10-28,type_1,3912.5600000000000535,45.22,0,0,market_6
2021-10-28,type_2,136.6800000000000032,10.00,0,0,market_6
2021-10-29,type_3,2951.5100000000000165,36.81,1,1,market_6
2021-10-29,type_1,4233.3800000000001035,44.48,0,1,market_6
2021-10-29,type_2,286.7400000000000029,10.00,0,1,market_6
2021-10-30,type_3,3988.1300000000000303,31.40,0,1,market_6
2021-10-30,type_1,7318.2400000000000706,33.29,0,1,market_6
2021-10-30,type_2,386.8900000000000080,10.00,0,1,market_6
2021-10-31,type_3,3005.7300000000000280,30.73,0,1,market_6
2021-10-31,type_1,5237.7300000000000422,30.00,1,1,market_6
2021-10-31,type_2,264.0400000000000039,,0,1,market_6
2021-11-01,type_3,2880.6900000000000131,36.88,0,0,market_6
2021-11-01,type_1,3756.8100000000000996,42.17,1,0,market_6
2021-11-01,type_2,192.1600000000000010,10.00,0,0,market_6
2021-11-02,type_3,2019.4700000000000139,41.16,1,0,market_6
2021-11-02,type_1,3801.9100000000000575,38.57,1,0,market_6
2021-11-02,type_2,328.1100000000000082,,0,0,market_6
2021-11-03,type_3,2714.3800000000000206,40.23,0,0,market_6
2021-11-03,type_1,3514.0100000000000470,36.09,0,0,market_6
2021-11-03,type_2,145.8400000000000012,10.00,0,0,market_6
2021-11-04,type_3,2224.6900000000000140,43.55,0,0,market_6
2021-11-04,type_1,4610.9200000000000828,33.78,0,0,market_6
2021-11-04,type_2,206.4100000000000040,10.00,0,0,market_6
2021-11-05,type_3,2655.7900000000000229,47.96,0,1,market_6
2021-11-05,type_1,4258.9400000000001136,33.50,0,1,market_6
2021-11-05,type_2,166.8800000000000020,77.50,0,1,market_6
2021-11-06,type_3,4003.7600000000000382,35.60,1,1,market_6
2021-11-06,type_1,6914.1300000000000466,46.15,0,1,market_6
2021-11-06,type_2,296.4100000000000072,10.00,0,1,market_6
2021-11-07,type_3,3534.8400000000000464,33.09,0,1,market_6
2021-11-07,type_1,5116.5800000000001343,44.65,1,1,market_6
2021-11-07,type_2,367.9000000000000039,10.00,0,1,market_6
2021-11-08,type_3,2551.7000000000000263,43.16,0,0,market_6
2021-11-08,type_1,3298.3500000000000701,52.50,0,0,market_6
2021-11-08,type_2,141.2400000000000011,10.00,0,0,market_6
2021-11-09,type_3,2962.1500000000000350,39.42,0,0,market_6
2021-11-09,type_1,3967.6800000000000835,53.33,1,0,market_6
2021-11-09,type_2,126.8800000000000021,10.70,0,0,market_6
2021-11-10,type_3,2343.4500000000000202,45.49,1,0,market_6
2021-11-10,type_1,3373.5000000000000227,30.00,0,0,market_6
2021-11-10,type_2,115.9900000000000001,10.00,0,0,market_6
2021-11-11,type_3,4003.5800000000000341,42.77,1,0,market_6
2021-11-11,type_1,5480.5400000000001287,48.85,1,0,market_6
2021-11-11,type_2,291.7200000000000027,10.00,0,0,market_6
2021-11-12,type_3,2535.5300000000000243,45.33,0,1,market_6
2021-11-12,type_1,3780.3200000000001007,72.90,1,1,market_6
2021-11-12,type_2,117.2400000000000011,13.33,0,1,market_6
2021-11-13,type_3,4075.3300000000000379,31.87,0,1,market_6
2021-11-13,type_1,7043.6000000000000956,48.25,1,1,market_6
2021-11-13,type_2,297.6500000000000058,10.00,0,1,market_6
2021-11-14,type_3,3220.9200000000000295,33.52,0,1,market_6
2021-11-14,type_1,5187.6800000000000735,75.00,1,1,market_6
2021-11-14,type_2,235.2700000000000041,10.00,0,1,market_6
2021-11-15,type_3,2329.3200000000000157,46.58,0,0,market_6
2021-11-15,type_1,3450.3000000000000981,45.79,1,0,market_6
2021-11-15,type_2,221.7900000000000035,10.00,0,0,market_6
2021-11-16,type_3,2436.1000000000000211,39.10,0,0,market_6
2021-11-16,type_1,2843.7700000000000764,47.95,1,0,market_6
2021-11-16,type_2,116.2100000000000013,10.00,0,0,market_6
2021-11-17,type_3,2302.2900000000000237,44.36,0,0,market_6
2021-11-17,type_1,3263.2200000000000768,44.00,1,0,market_6
2021-11-17,type_2,203.1100000000000040,10.00,0,0,market_6
2021-11-18,type_3,2409.2100000000000204,32.85,0,0,market_6
2021-11-18,type_1,3120.6100000000001048,46.67,1,0,market_6
2021-11-18,type_2,184.0500000000000036,13.33,0,0,market_6
2021-11-19,type_3,3368.1600000000000324,38.81,0,1,market_6
2021-11-19,type_1,5371.7000000000001559,46.15,1,1,market_6
2021-11-19,type_2,190.4400000000000036,16.67,0,1,market_6
2021-11-20,type_3,3545.8700000000000325,37.62,0,1,market_6
2021-11-20,type_1,5058.3100000000001234,70.00,0,1,market_6
2021-11-20,type_2,184.8800000000000012,10.00,0,1,market_6
2021-11-21,type_3,2786.8500000000000297,39.07,0,1,market_6
2021-11-21,type_1,4386.9600000000001325,41.67,1,1,market_6
2021-11-21,type_2,188.7000000000000020,,1,1,market_6
2021-11-22,type_3,2716.8000000000000245,41.53,0,0,market_6
2021-11-22,type_1,3552.4200000000000754,52.70,0,0,market_6
2021-11-22,type_2,110.6800000000000027,,0,0,market_6
2021-11-23,type_3,2468.0100000000000208,45.11,0,0,market_6
2021-11-23,type_1,2793.7300000000001113,50.22,0,0,market_6
2021-11-23,type_2,90.8000000000000015,100.00,0,0,market_6
2021-11-24,type_3,2432.7200000000000276,36.09,0,0,market_6
2021-11-24,type_1,2631.9900000000000900,35.68,1,0,market_6
2021-11-24,type_2,104.5000000000000035,55.00,0,0,market_6
2021-11-25,type_3,86.0800000000000016,37.78,0,0,market_6
2021-11-25,type_1,116.0300000000000045,,0,0,market_6
2021-11-26,type_3,2755.8700000000000205,41.32,1,1,market_6
2021-11-26,type_1,3238.0900000000000402,24.72,1,1,market_6
2021-11-26,type_2,220.3400000000000005,10.00,1,1,market_6
2021-11-27,type_3,3431.7700000000000363,40.00,1,1,market_6
2021-11-27,type_1,6105.0100000000000888,29.39,0,1,market_6
2021-11-27,type_2,293.4100000000000033,,1,1,market_6
2021-11-28,type_3,2456.2500000000000313,45.05,0,1,market_6
2021-11-28,type_1,5560.2500000000000885,23.59,0,1,market_6
2021-11-28,type_2,317.9800000000000034,70.00,1,1,market_6
2021-11-29,type_3,2080.2900000000000204,38.80,0,0,market_6
2021-11-29,type_1,3499.5600000000001039,70.73,0,0,market_6
2021-11-29,type_2,194.3400000000000030,100.00,0,0,market_6
2021-11-30,type_3,2146.7300000000000176,39.85,0,0,market_6
2021-11-30,type_1,3145.6600000000001221,70.77,0,0,market_6
2021-11-30,type_2,192.5400000000000039,55.00,1,0,market_6
2021-12-01,type_3,2296.6100000000000225,41.92,0,0,market_6
2021-12-01,type_1,3103.7400000000000571,52.62,1,0,market_6
2021-12-01,type_2,124.4300000000000021,28.00,1,0,market_6
2021-12-02,type_3,2109.7700000000000180,51.08,1,0,market_6
2021-12-02,type_1,3336.9500000000001205,71.82,0,0,market_6
2021-12-02,type_2,192.9600000000000024,82.00,0,0,market_6
2021-12-03,type_3,2554.5600000000000311,44.75,1,1,market_6
2021-12-03,type_1,3856.1400000000001364,58.19,0,1,market_6
2021-12-03,type_2,119.6400000000000020,100.00,0,1,market_6
2021-12-04,type_3,3841.2300000000000496,40.65,0,1,market_6
2021-12-04,type_1,7223.8800000000001519,54.26,1,1,market_6
2021-12-04,type_2,262.4400000000000061,10.00,0,1,market_6
2021-12-05,type_3,2986.6600000000000355,37.44,1,1,market_6
2021-12-05,type_1,5572.3600000000001375,51.00,0,1,market_6
2021-12-05,type_2,199.6500000000000064,10.00,0,1,market_6
2021-12-06,type_3,2303.9000000000000271,36.93,0,0,market_6
2021-12-06,type_1,3392.4700000000001221,65.00,0,0,market_6
2021-12-06,type_2,95.7200000000000010,,0,0,market_6
2021-12-07,type_3,2113.9800000000000209,64.77,0,0,market_6
2021-12-07,type_1,2036.8600000000000742,65.85,0,0,market_6
2021-12-07,type_2,126.5400000000000045,10.00,0,0,market_6
2021-12-08,type_3,2477.1600000000000318,52.01,0,0,market_6
2021-12-08,type_1,2903.6600000000001154,57.10,1,0,market_6
2021-12-08,type_2,292.3200000000000073,10.00,1,0,market_6
